timestamp,protocol,src_ip,src_port,dst_ip,dst_port,flags,destination
17:13:55,TCP,52.22.119.135,443,10.101.1.118,63042,A,5CD319260M
17:13:55,TCP,10.101.1.118,63042,52.22.119.135,443,A,ec2-52-22-119-135.compute-1.amazonaws.com
17:13:55,UDP,10.101.1.118,50932,10.101.0.1,53,,10.101.0.1
17:14:00,UDP,10.101.1.118,50932,10.101.0.1,53,,10.101.0.1
17:14:04,UDP,10.101.0.1,53,10.101.1.118,50932,,5CD319260M
17:14:04,UDP,10.101.1.118,64684,10.101.0.1,53,,10.101.0.1
17:14:09,UDP,10.101.0.1,53,10.101.1.118,64684,,5CD319260M
17:14:09,UDP,10.101.1.118,5353,224.0.0.251,5353,,mdns.mcast.net
17:14:09,UDP,10.101.1.118,5353,224.0.0.251,5353,,mdns.mcast.net
17:14:09,UDP,10.101.1.118,137,10.101.0.1,137,,10.101.0.1
17:14:14,UDP,10.101.1.118,61236,224.0.0.252,5355,,224.0.0.252
17:14:19,UDP,0.0.0.0,68,255.255.255.255,67,,255.255.255.255
17:14:20,UDP,10.101.1.118,5353,224.0.0.251,5353,,mdns.mcast.net
17:14:20,UDP,10.101.1.118,61236,224.0.0.252,5355,,224.0.0.252
17:14:25,TCP,10.101.1.118,59399,108.177.14.188,5228,A,lt-in-f188.1e100.net
17:14:25,TCP,108.177.14.188,5228,10.101.1.118,59399,A,5CD319260M
17:14:25,TCP,10.101.1.118,61561,52.182.143.210,443,PA,52.182.143.210
